Entity,Code,Year,Oil consumption - TWh
Argentina,ARG,1987,267.40317
Argentina,ARG,1988,269.00543
Argentina,ARG,1989,247.01988
Argentina,ARG,1990,230.57684
Argentina,ARG,1991,241.39496
Argentina,ARG,1992,253.73552
Argentina,ARG,1993,248.76807
Argentina,ARG,1994,263.91055
Argentina,ARG,1995,261.95877
Argentina,ARG,1996,261.80048
Argentina,ARG,1997,279.52618
Argentina,ARG,1998,289.11743
Argentina,ARG,1999,296.58893
Argentina,ARG,2000,269.79562
Argentina,ARG,2001,250.16501
Argentina,ARG,2002,236.54623
Argentina,ARG,2003,240.75447
Argentina,ARG,2004,261.0261
Argentina,ARG,2005,272.52386
Argentina,ARG,2006,286.84134
Argentina,ARG,2007,316.03925
Argentina,ARG,2008,318.08936
Argentina,ARG,2009,301.67108
Argentina,ARG,2010,325.73422
Argentina,ARG,2011,338.19656
Argentina,ARG,2012,360.93686
Argentina,ARG,2013,410.6305
Argentina,ARG,2014,393.0657
Argentina,ARG,2015,400.8621
Argentina,ARG,2016,389.2025
Argentina,ARG,2017,377.06842
Argentina,ARG,2018,356.3348
Argentina,ARG,2019,320.13205
Argentina,ARG,2020,282.3385
Argentina,ARG,2021,340.6155
Argentina,ARG,2022,383.51245
Argentina,ARG,2023,370.75543
Argentina,ARG,2024,339.03214
Australia,AUS,1965,200.01936
Australia,AUS,1966,214.04755
Australia,AUS,1967,234.38777
Australia,AUS,1968,255.28499
Australia,AUS,1969,262.44812
Australia,AUS,1970,290.1954
Australia,AUS,1971,305.54456
Australia,AUS,1972,311.03336
Australia,AUS,1973,331.89297
Australia,AUS,1974,351.73517
Australia,AUS,1975,348.1045
Australia,AUS,1976,355.82147
Australia,AUS,1977,372.60077
Australia,AUS,1978,380.9467
Australia,AUS,1979,385.9148
Australia,AUS,1980,367.7676
Australia,AUS,1981,362.41833
Australia,AUS,1982,356.84918
Australia,AUS,1983,340.71588
Australia,AUS,1984,349.9143
Australia,AUS,1985,351.52405
Australia,AUS,1986,345.65332
Australia,AUS,1987,353.0262
Australia,AUS,1988,369.83667
Australia,AUS,1989,384.1453
Australia,AUS,1990,392.90448
Australia,AUS,1991,381.25476
Australia,AUS,1992,388.77893
Australia,AUS,1993,402.41638
Australia,AUS,1994,415.6745
Australia,AUS,1995,427.7775
Australia,AUS,1996,439.01538
Australia,AUS,1997,446.05786
Australia,AUS,1998,445.97025
Australia,AUS,1999,456.154
Australia,AUS,2000,455.9816
Australia,AUS,2001,457.08533
Australia,AUS,2002,461.9748
Australia,AUS,2003,460.25992
Australia,AUS,2004,471.29572
Australia,AUS,2005,478.7019
Australia,AUS,2006,493.64178
Australia,AUS,2007,506.2703
Australia,AUS,2008,512.7159
Australia,AUS,2009,504.14078
Australia,AUS,2010,519.3061
Australia,AUS,2011,547.0603
Australia,AUS,2012,561.41907
Australia,AUS,2013,578.03705
Australia,AUS,2014,575.4282
Australia,AUS,2015,570.77856
Australia,AUS,2016,572.20135
Australia,AUS,2017,599.9491
Australia,AUS,2018,610.59534
Australia,AUS,2019,604.19867
Australia,AUS,2020,522.1727
Australia,AUS,2021,535.7199
Australia,AUS,2022,569.00037
Australia,AUS,2023,602.69604
Australia,AUS,2024,620.48303
Austria,AUT,1965,65.29748
Austria,AUT,1966,71.788864
Austria,AUT,1967,76.54811
Austria,AUT,1968,88.466064
Austria,AUT,1969,97.226
Austria,AUT,1970,107.04365
Austria,AUT,1971,119.607025
Austria,AUT,1972,129.12288
Austria,AUT,1973,139.92781
Austria,AUT,1974,125.22768
Austria,AUT,1975,126.55926
Austria,AUT,1976,137.41133
Austria,AUT,1977,131.58655
Austria,AUT,1978,141.56969
Austria,AUT,1979,147.40877
Austria,AUT,1980,143.88745
Austria,AUT,1981,130.63089
Austria,AUT,1982,123.90079
Austria,AUT,1983,120.07978
Austria,AUT,1984,116.79846
Austria,AUT,1985,116.98592
Austria,AUT,1986,123.2183
Austria,AUT,1987,126.86035
Austria,AUT,1988,125.97797
Austria,AUT,1989,124.222206
Austria,AUT,1990,127.430046
Austria,AUT,1991,136.87337
Austria,AUT,1992,134.13881
Austria,AUT,1993,136.78593
Austria,AUT,1994,134.74817
Austria,AUT,1995,135.62375
Austria,AUT,1996,147.85747
Austria,AUT,1997,147.18379
Austria,AUT,1998,155.29774
Austria,AUT,1999,147.58986
Austria,AUT,2000,145.70236
Austria,AUT,2001,155.1389
Austria,AUT,2002,157.87592
Austria,AUT,2003,167.63007
Austria,AUT,2004,170.16396
Austria,AUT,2005,170.74123
Austria,AUT,2006,169.86945
Austria,AUT,2007,163.24309
Austria,AUT,2008,158.70348
Austria,AUT,2009,149.56474
Austria,AUT,2010,154.07774
Austria,AUT,2011,145.06886
Austria,AUT,2012,142.3423
Austria,AUT,2013,145.6488
Austria,AUT,2014,141.40121
Austria,AUT,2015,142.84538
Austria,AUT,2016,146.15495
Austria,AUT,2017,146.42876
Austria,AUT,2018,148.91289
Austria,AUT,2019,153.20105
Austria,AUT,2020,133.02937
Austria,AUT,2021,140.2148
Austria,AUT,2022,135.03087
Austria,AUT,2023,134.10497
Austria,AUT,2024,131.87657
Azerbaijan,AZE,1985,97.18555
Azerbaijan,AZE,1986,101.817375
Azerbaijan,AZE,1987,95.82691
Azerbaijan,AZE,1988,98.14325
Azerbaijan,AZE,1989,95.70122
Azerbaijan,AZE,1990,100.39483
Azerbaijan,AZE,1991,96.80113
Azerbaijan,AZE,1992,94.319466
Azerbaijan,AZE,1993,94.05541
Azerbaijan,AZE,1994,86.15903
Azerbaijan,AZE,1995,77.6772
Azerbaijan,AZE,1996,69.77202
Azerbaijan,AZE,1997,66.40268
Azerbaijan,AZE,1998,69.87349
Azerbaijan,AZE,1999,67.24548
Azerbaijan,AZE,2000,74.69057
Azerbaijan,AZE,2001,47.59412
Azerbaijan,AZE,2002,43.6981
Azerbaijan,AZE,2003,50.912304
Azerbaijan,AZE,2004,54.5731
Azerbaijan,AZE,2005,63.79851
Azerbaijan,AZE,2006,57.11258
Azerbaijan,AZE,2007,56.47857
Azerbaijan,AZE,2008,44.338394
Azerbaijan,AZE,2009,37.846764
Azerbaijan,AZE,2010,37.243855
Azerbaijan,AZE,2011,48.970104
Azerbaijan,AZE,2012,51.289177
Azerbaijan,AZE,2013,55.715004
Azerbaijan,AZE,2014,54.860176
Azerbaijan,AZE,2015,55.601353
Azerbaijan,AZE,2016,55.19285
Azerbaijan,AZE,2017,55.699093
Azerbaijan,AZE,2018,62.74092
Azerbaijan,AZE,2019,63.158752
Azerbaijan,AZE,2020,57.7512
Azerbaijan,AZE,2021,65.33925
Azerbaijan,AZE,2022,69.2595
Azerbaijan,AZE,2023,72.10228
Azerbaijan,AZE,2024,70.99441
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,8.135291
Bangladesh,BGD,1972,9.919018
Bangladesh,BGD,1973,11.208105
Bangladesh,BGD,1974,11.659565
Bangladesh,BGD,1975,13.631796
Bangladesh,BGD,1976,14.748876
Bangladesh,BGD,1977,14.522806
Bangladesh,BGD,1978,15.460121
Bangladesh,BGD,1979,17.112337
Bangladesh,BGD,1980,19.291002
Bangladesh,BGD,1981,19.89294
Bangladesh,BGD,1982,19.62132
Bangladesh,BGD,1983,17.547495
Bangladesh,BGD,1984,17.682053
Bangladesh,BGD,1985,19.738766
Bangladesh,BGD,1986,21.275486
Bangladesh,BGD,1987,20.945486
Bangladesh,BGD,1988,20.984262
Bangladesh,BGD,1989,22.941954
Bangladesh,BGD,1990,22.227821
Bangladesh,BGD,1991,20.622862
Bangladesh,BGD,1992,23.004263
Bangladesh,BGD,1993,25.769167
Bangladesh,BGD,1994,26.85683
Bangladesh,BGD,1995,34.853485
Bangladesh,BGD,1996,35.606483
Bangladesh,BGD,1997,40.876934
Bangladesh,BGD,1998,45.055756
Bangladesh,BGD,1999,40.18385
Bangladesh,BGD,2000,39.487724
Bangladesh,BGD,2001,47.166737
Bangladesh,BGD,2002,42.876194
Bangladesh,BGD,2003,43.893665
Bangladesh,BGD,2004,45.732254
Bangladesh,BGD,2005,46.99634
Bangladesh,BGD,2006,47.271736
Bangladesh,BGD,2007,45.713196
Bangladesh,BGD,2008,45.39375
Bangladesh,BGD,2009,42.925915
Bangladesh,BGD,2010,47.633118
Bangladesh,BGD,2011,60.019775
Bangladesh,BGD,2012,68.356895
Bangladesh,BGD,2013,69.63952
Bangladesh,BGD,2014,76.66483
Bangladesh,BGD,2015,92.68446
Bangladesh,BGD,2016,96.11049
Bangladesh,BGD,2017,108.25354
Bangladesh,BGD,2018,124.19397
Bangladesh,BGD,2019,121.87268
Bangladesh,BGD,2020,102.776375
Bangladesh,BGD,2021,140.56749
Bangladesh,BGD,2022,166.14375
Bangladesh,BGD,2023,139.36922
Bangladesh,BGD,2024,160.46597
Belarus,BLR,1985,296.34036
Belarus,BLR,1986,350.11862
Belarus,BLR,1987,346.30624
Belarus,BLR,1988,335.46915
Belarus,BLR,1989,314.12692
Belarus,BLR,1990,311.8781
Belarus,BLR,1991,306.03107
Belarus,BLR,1992,228.17445
Belarus,BLR,1993,175.19223
Belarus,BLR,1994,142.89874
Belarus,BLR,1995,124.3167
Belarus,BLR,1996,122.273964
Belarus,BLR,1997,107.04149
Belarus,BLR,1998,101.113304
Belarus,BLR,1999,92.49213
Belarus,BLR,2000,91.4113
Belarus,BLR,2001,88.44919
Belarus,BLR,2002,93.12623
Belarus,BLR,2003,94.28708
Belarus,BLR,2004,92.36583
Belarus,BLR,2005,85.993576
Belarus,BLR,2006,100.91063
Belarus,BLR,2007,91.78464
Belarus,BLR,2008,91.367065
Belarus,BLR,2009,105.46239
Belarus,BLR,2010,90.62383
Belarus,BLR,2011,98.655045
Belarus,BLR,2012,121.07967
Belarus,BLR,2013,90.81036
Belarus,BLR,2014,93.06433
Belarus,BLR,2015,78.40431
Belarus,BLR,2016,84.303665
Belarus,BLR,2017,83.84049
Belarus,BLR,2018,97.42405
Belarus,BLR,2019,99.32728
Belarus,BLR,2020,95.60984
Belarus,BLR,2021,97.09465
Belarus,BLR,2022,92.66208
Belarus,BLR,2023,91.93819
Belarus,BLR,2024,92.522575
Belgium,BEL,1965,188.46475
Belgium,BEL,1966,192.26031
Belgium,BEL,1967,212.03163
Belgium,BEL,1968,246.15923
Belgium,BEL,1969,284.00696
Belgium,BEL,1970,309.81564
Belgium,BEL,1971,317.50644
Belgium,BEL,1972,343.47247
Belgium,BEL,1973,360.6343
Belgium,BEL,1974,317.68402
Belgium,BEL,1975,301.48972
Belgium,BEL,1976,314.48248
Belgium,BEL,1977,309.30972
Belgium,BEL,1978,330.0505
Belgium,BEL,1979,328.01733
Belgium,BEL,1980,303.17267
Belgium,BEL,1981,277.88095
Belgium,BEL,1982,263.12488
Belgium,BEL,1983,238.75551
Belgium,BEL,1984,231.01208
Belgium,BEL,1985,234.47888
Belgium,BEL,1986,264.9442
Belgium,BEL,1987,266.84842
Belgium,BEL,1988,275.22708
Belgium,BEL,1989,270.30557
Belgium,BEL,1990,279.09064
Belgium,BEL,1991,299.26675
Belgium,BEL,1992,305.2735
Belgium,BEL,1993,300.30597
Belgium,BEL,1994,326.46335
Belgium,BEL,1995,325.2659
Belgium,BEL,1996,352.25375
Belgium,BEL,1997,360.9306
Belgium,BEL,1998,365.943
Belgium,BEL,1999,353.81247
Belgium,BEL,2000,359.53516
Belgium,BEL,2001,365.03632
Belgium,BEL,2002,366.56335
Belgium,BEL,2003,387.41565
Belgium,BEL,2004,392.1216
Belgium,BEL,2005,389.98648
Belgium,BEL,2006,388.7428
Belgium,BEL,2007,392.62918
Belgium,BEL,2008,411.8414
Belgium,BEL,2009,360.922
Belgium,BEL,2010,374.98312
Belgium,BEL,2011,350.51743
Belgium,BEL,2012,337.58096
Belgium,BEL,2013,345.84137
Belgium,BEL,2014,338.91125
Belgium,BEL,2015,348.06155
Belgium,BEL,2016,352.99054
Belgium,BEL,2017,357.47388
Belgium,BEL,2018,383.168
Belgium,BEL,2019,358.85614
Belgium,BEL,2020,307.18332
Belgium,BEL,2021,341.012
Belgium,BEL,2022,331.8721
Belgium,BEL,2023,320.74048
Belgium,BEL,2024,326.7497
Brazil,BRA,1965,177.73058
Brazil,BRA,1966,193.79759
Brazil,BRA,1967,199.99173
Brazil,BRA,1968,240.19615
Brazil,BRA,1969,263.56772
Brazil,BRA,1970,314.02188
Brazil,BRA,1971,342.9215
Brazil,BRA,1972,394.3907
Brazil,BRA,1973,479.14383
Brazil,BRA,1974,527.1006
Brazil,BRA,1975,541.39404
Brazil,BRA,1976,582.4513
Brazil,BRA,1977,597.42
Brazil,BRA,1978,651.6827
Brazil,BRA,1979,683.75385
Brazil,BRA,1980,672.82336
Brazil,BRA,1981,634.0464
Brazil,BRA,1982,647.4372
Brazil,BRA,1983,603.86804
Brazil,BRA,1984,607.2174
Brazil,BRA,1985,625.4869
Brazil,BRA,1986,675.0955
Brazil,BRA,1987,691.2001
Brazil,BRA,1988,709.9726
Brazil,BRA,1989,720.3111
Brazil,BRA,1990,716.19495
Brazil,BRA,1991,727.4715
Brazil,BRA,1992,736.12915
Brazil,BRA,1993,768.92944
Brazil,BRA,1994,809.6257
Brazil,BRA,1995,860.1931
Brazil,BRA,1996,926.7676
Brazil,BRA,1997,999.6485
Brazil,BRA,1998,1052.7144
Brazil,BRA,1999,1059.6798
Brazil,BRA,2000,1098.5857
Brazil,BRA,2001,1105.8911
Brazil,BRA,2002,1079.3092
Brazil,BRA,2003,1039.9338
Brazil,BRA,2004,1075.8806
Brazil,BRA,2005,1094.3431
Brazil,BRA,2006,1120.918
Brazil,BRA,2007,1175.956
Brazil,BRA,2008,1228.8926
Brazil,BRA,2009,1225.7334
Brazil,BRA,2010,1309.8794
Brazil,BRA,2011,1372.3699
Brazil,BRA,2012,1447.9652
Brazil,BRA,2013,1498.0181
Brazil,BRA,2014,1540.8109
Brazil,BRA,2015,1455.0435
Brazil,BRA,2016,1379.5802
Brazil,BRA,2017,1388.8522
Brazil,BRA,2018,1317.6311
Brazil,BRA,2019,1335.6631
Brazil,BRA,2020,1257.6509
Brazil,BRA,2021,1337.8044
Brazil,BRA,2022,1390.1484
Brazil,BRA,2023,1425.2002
Brazil,BRA,2024,1427.7328
Bulgaria,BGR,1965,43.71547
Bulgaria,BGR,1966,49.874107
Bulgaria,BGR,1967,62.72245
Bulgaria,BGR,1968,74.33811
Bulgaria,BGR,1969,91.278786
Bulgaria,BGR,1970,106.039246
Bulgaria,BGR,1971,116.62912
Bulgaria,BGR,1972,121.28458
Bulgaria,BGR,1973,127.88814
Bulgaria,BGR,1974,132.98701
Bulgaria,BGR,1975,140.9609
Bulgaria,BGR,1976,146.48643
Bulgaria,BGR,1977,152.28668
Bulgaria,BGR,1978,156.79785
Bulgaria,BGR,1979,161.55994
Bulgaria,BGR,1980,165.02052
Bulgaria,BGR,1981,147.08585
Bulgaria,BGR,1982,142.53188
Bulgaria,BGR,1983,137.64603
Bulgaria,BGR,1984,132.17894
Bulgaria,BGR,1985,122.13932
Bulgaria,BGR,1986,128.74698
Bulgaria,BGR,1987,123.71196
Bulgaria,BGR,1988,131.34586
Bulgaria,BGR,1989,128.12546
Bulgaria,BGR,1990,118.9007
Bulgaria,BGR,1991,79.400375
Bulgaria,BGR,1992,71.27457
Bulgaria,BGR,1993,77.613
Bulgaria,BGR,1994,73.34055
Bulgaria,BGR,1995,75.31128
Bulgaria,BGR,1996,69.351074
Bulgaria,BGR,1997,54.51871
Bulgaria,BGR,1998,57.887005
Bulgaria,BGR,1999,53.773804
Bulgaria,BGR,2000,50.755096
Bulgaria,BGR,2001,52.527763
Bulgaria,BGR,2002,52.79946
Bulgaria,BGR,2003,55.72604
Bulgaria,BGR,2004,53.974884
Bulgaria,BGR,2005,59.339947
Bulgaria,BGR,2006,60.025085
Bulgaria,BGR,2007,58.884953
Bulgaria,BGR,2008,57.866554
Bulgaria,BGR,2009,52.825085
Bulgaria,BGR,2010,47.891857
Bulgaria,BGR,2011,45.732883
Bulgaria,BGR,2012,47.573124
Bulgaria,BGR,2013,44.21495
Bulgaria,BGR,2014,47.711754
Bulgaria,BGR,2015,53.301296
Bulgaria,BGR,2016,54.210262
Bulgaria,BGR,2017,56.917366
Bulgaria,BGR,2018,56.655537
Bulgaria,BGR,2019,59.417183
Bulgaria,BGR,2020,53.383244
Bulgaria,BGR,2021,56.07793
Bulgaria,BGR,2022,59.941475
Bulgaria,BGR,2023,59.370625
Bulgaria,BGR,2024,61.19366
Canada,CAN,1965,642.81793
Canada,CAN,1966,677.2622
Canada,CAN,1967,723.1062
Canada,CAN,1968,769.79315
Canada,CAN,1969,801.5453
Canada,CAN,1970,854.8003
Canada,CAN,1971,877.8504
Canada,CAN,1972,924.3329
Canada,CAN,1973,1009.6328
Canada,CAN,1974,1027.002
Canada,CAN,1975,1013.2218
Canada,CAN,1976,1037.8885
Canada,CAN,1977,1046.0139
Canada,CAN,1978,1079.6921
Canada,CAN,1979,1121.5848
Canada,CAN,1980,1101.6031
Canada,CAN,1981,1043.3729
Canada,CAN,1982,947.2694
Canada,CAN,1983,890.69574
Canada,CAN,1984,899.10645
Canada,CAN,1985,903.0235
Canada,CAN,1986,923.06506
Canada,CAN,1987,952.62946
Canada,CAN,1988,1002.7983
Canada,CAN,1989,1041.8708
Canada,CAN,1990,962.80804
Canada,CAN,1991,912.6727
Canada,CAN,1992,936.4967
Canada,CAN,1993,948.5795
Canada,CAN,1994,968.85803
Canada,CAN,1995,1016.6471
Canada,CAN,1996,1041.7711
Canada,CAN,1997,1073.6844
Canada,CAN,1998,1094.4218
Canada,CAN,1999,1115.5518
Canada,CAN,2000,1109.1815
Canada,CAN,2001,1140.4631
Canada,CAN,2002,1183.052
Canada,CAN,2003,1227.1875
Canada,CAN,2004,1280.9209
Canada,CAN,2005,1249.1073
Canada,CAN,2006,1154.0778
Canada,CAN,2007,1292.9395
Canada,CAN,2008,1247.8242
Canada,CAN,2009,1217.4233
Canada,CAN,2010,1274.5822
Canada,CAN,2011,1274.0273
Canada,CAN,2012,1281.3368
Canada,CAN,2013,1283.0155
Canada,CAN,2014,1276.0674
Canada,CAN,2015,1280.1887
Canada,CAN,2016,1265.299
Canada,CAN,2017,1251.9794
Canada,CAN,2018,1293.8148
Canada,CAN,2019,1289.5511
Canada,CAN,2020,1114.1469
Canada,CAN,2021,1143.6666
Canada,CAN,2022,1187.0807
Canada,CAN,2023,1194.1416
Canada,CAN,2024,1209.1987
Chile,CHL,1965,41.014145
Chile,CHL,1966,44.942955
Chile,CHL,1967,46.931915
Chile,CHL,1968,49.473736
Chile,CHL,1969,52.70953
Chile,CHL,1970,55.66466
Chile,CHL,1971,61.719658
Chile,CHL,1972,63.9477
Chile,CHL,1973,61.419968
Chile,CHL,1974,59.826385
Chile,CHL,1975,52.450928
Chile,CHL,1976,54.49116
Chile,CHL,1977,56.65704
Chile,CHL,1978,60.19117
Chile,CHL,1979,62.90213
Chile,CHL,1980,63.652122
Chile,CHL,1981,63.548195
Chile,CHL,1982,58.228638
Chile,CHL,1983,57.603676
Chile,CHL,1984,56.838863
Chile,CHL,1985,54.993565
Chile,CHL,1986,58.100857
Chile,CHL,1987,60.680458
Chile,CHL,1988,67.06808
Chile,CHL,1989,75.09224
Chile,CHL,1990,79.35556
Chile,CHL,1991,88.48297
Chile,CHL,1992,95.84964
Chile,CHL,1993,104.486534
Chile,CHL,1994,112.2142
Chile,CHL,1995,123.3562
Chile,CHL,1996,130.98291
Chile,CHL,1997,140.88297
Chile,CHL,1998,144.0185
Chile,CHL,1999,145.66054
Chile,CHL,2000,139.07542
Chile,CHL,2001,135.44453
Chile,CHL,2002,137.69225
Chile,CHL,2003,136.51785
Chile,CHL,2004,150.5013
Chile,CHL,2005,155.2119
Chile,CHL,2006,160.48915
Chile,CHL,2007,200.30363
Chile,CHL,2008,211.0859
Chile,CHL,2009,198.59944
Chile,CHL,2010,182.12953
Chile,CHL,2011,189.07631
Chile,CHL,2012,196.13608
Chile,CHL,2013,195.0727
Chile,CHL,2014,193.4745
Chile,CHL,2015,190.19441
Chile,CHL,2016,200.91751
Chile,CHL,2017,204.00139
Chile,CHL,2018,211.3997
Chile,CHL,2019,210.55197
Chile,CHL,2020,192.55576
Chile,CHL,2021,211.37491
Chile,CHL,2022,228.23827
Chile,CHL,2023,225.66283
Chile,CHL,2024,238.19644
China,CHN,1965,129.06253
China,CHN,1966,165.79991
China,CHN,1967,163.69286
China,CHN,1968,179.03458
China,CHN,1969,240.04433
China,CHN,1970,332.04556
China,CHN,1971,451.57767
China,CHN,1972,519.69653
China,CHN,1973,633.9831
China,CHN,1974,729.073
China,CHN,1975,804.07825
China,CHN,1976,919.1864
China,CHN,1977,971.04175
China,CHN,1978,1076.637
China,CHN,1979,1079.2996
China,CHN,1980,972.5329
China,CHN,1981,921.53076
China,CHN,1982,911.753
China,CHN,1983,930.0993
China,CHN,1984,964.89026
China,CHN,1985,1010.6004
China,CHN,1986,1074.4205
China,CHN,1987,1142.2338
China,CHN,1988,1229.3582
China,CHN,1989,1287.7268
China,CHN,1990,1274.5725
China,CHN,1991,1379.1438
China,CHN,1992,1495.912
China,CHN,1993,1663.7761
China,CHN,1994,1690.6384
China,CHN,1995,1825.6307
China,CHN,1996,2023.0287
China,CHN,1997,2221.5454
China,CHN,1998,2287.5908
China,CHN,1999,2437.2449
China,CHN,2000,2626.896
China,CHN,2001,2683.249
China,CHN,2002,2895.598
China,CHN,2003,3234.7625
China,CHN,2004,3777.772
China,CHN,2005,3838.4873
China,CHN,2006,4116.769
China,CHN,2007,4313.5674
China,CHN,2008,4408.092
China,CHN,2009,4580.2983
China,CHN,2010,5214.49
China,CHN,2011,5390.7334
China,CHN,2012,5654.2993
China,CHN,2013,5907.4697
China,CHN,2014,6142.5166
China,CHN,2015,6609.8955
China,CHN,2016,6823.5786
China,CHN,2017,7183.172
China,CHN,2018,7528.741
China,CHN,2019,7891.5103
China,CHN,2020,7959.667
China,CHN,2021,8174.0947
China,CHN,2022,8198.393
China,CHN,2023,9091.228
China,CHN,2024,8964.054
Colombia,COL,1965,54.81988
Colombia,COL,1966,65.52585
Colombia,COL,1967,65.62976
Colombia,COL,1968,70.64008
Colombia,COL,1969,67.85545
Colombia,COL,1970,76.955696
Colombia,COL,1971,79.72807
Colombia,COL,1972,94.19158
Colombia,COL,1973,86.37416
Colombia,COL,1974,95.579155
Colombia,COL,1975,83.72641
Colombia,COL,1976,88.36318
Colombia,COL,1977,90.42546
Colombia,COL,1978,89.24454
Colombia,COL,1979,90.73787
Colombia,COL,1980,90.631485
Colombia,COL,1981,91.13236
Colombia,COL,1982,90.20119
Colombia,COL,1983,93.80195
Colombia,COL,1984,90.141556
Colombia,COL,1985,92.12477
Colombia,COL,1986,93.89373
Colombia,COL,1987,99.94208
Colombia,COL,1988,104.761086
Colombia,COL,1989,107.60375
Colombia,COL,1990,114.30004
Colombia,COL,1991,114.3731
Colombia,COL,1992,124.484375
Colombia,COL,1993,128.17464
Colombia,COL,1994,134.27097
Colombia,COL,1995,144.16035
Colombia,COL,1996,153.02666
Colombia,COL,1997,152.27388
Colombia,COL,1998,151.26253
Colombia,COL,1999,135.5822
Colombia,COL,2000,132.67795
Colombia,COL,2001,131.99512
Colombia,COL,2002,130.75987
Colombia,COL,2003,130.62411
Colombia,COL,2004,141.36633
Colombia,COL,2005,140.03333
Colombia,COL,2006,149.5254
Colombia,COL,2007,153.0895
Colombia,COL,2008,150.89616
Colombia,COL,2009,151.37347
Colombia,COL,2010,159.77957
Colombia,COL,2011,168.5069
Colombia,COL,2012,180.10788
Colombia,COL,2013,188.60779
Colombia,COL,2014,199.76581
Colombia,COL,2015,200.19046
Colombia,COL,2016,224.96028
Colombia,COL,2017,221.97697
Colombia,COL,2018,232.51573
Colombia,COL,2019,231.36017
Colombia,COL,2020,192.89186
Colombia,COL,2021,227.32788
Colombia,COL,2022,266.85062
Colombia,COL,2023,254.75197
Colombia,COL,2024,252.61028
Croatia,HRV,1990,54.275616
Croatia,HRV,1991,38.496254
Croatia,HRV,1992,38.496254
Croatia,HRV,1993,40.6735
Croatia,HRV,1994,41.96201
Croatia,HRV,1995,46.48947
Croatia,HRV,1996,44.09095
Croatia,HRV,1997,47.088192
Croatia,HRV,1998,53.074535
Croatia,HRV,1999,52.55279
Croatia,HRV,2000,46.74931
Croatia,HRV,2001,47.907486
Croatia,HRV,2002,50.18211
Croatia,HRV,2003,55.533672
Croatia,HRV,2004,52.103424
Croatia,HRV,2005,53.632507
Croatia,HRV,2006,54.472057
Croatia,HRV,2007,55.770203
Croatia,HRV,2008,52.884552
Croatia,HRV,2009,51.64974
Croatia,HRV,2010,43.88788
Croatia,HRV,2011,41.734562
Croatia,HRV,2012,37.400105
Croatia,HRV,2013,35.97752
